,DATE,A(1),period,A(3),"H(SV,L)","H(RV,L)",H(SV),H(RV),"L(SV,20)","L(SV,40)","L(RV,20)","L(RV,40)",future,dataset
0,2003-11-04,3.725729197807164e-05,1,3.675659070938099e-05,3.682457101100336e-05,3.444146609059949e-05,3.768066445513478e-05,3.615132846736969e-05,3.6364134e-05,3.4531462e-05,3.0838095e-05,3.1264426e-05,3.961377224160388e-05,training
1,2003-11-05,4.820442777700239e-05,1,4.493795995448488e-05,4.089240612160761e-05,4.077336981072434e-05,4.190065154995387e-05,4.4229196125818744e-05,3.8476737e-05,3.7759095e-05,3.2396274e-05,3.18994e-05,4.48235608678216e-05,training
2,2003-11-06,5.270878547448275e-05,1,4.866798431701434e-05,4.152080042724569e-05,4.089857028297254e-05,4.677494050067422e-05,4.63989709044535e-05,4.045755e-05,4.3360305e-05,3.5101388e-05,3.408824e-05,5.373447728236939e-05,training
3,2003-11-07,6.0413120107462366e-05,1,5.6923285380341724e-05,4.673498253092641e-05,4.50278991327951e-05,5.802059092680334e-05,5.245677086866323e-05,4.587109e-05,4.9966697e-05,3.9496314e-05,3.720714e-05,2.520821744170767e-05,training
4,2003-11-10,3.5749455741698163e-05,1,3.673730678432686e-05,3.4276371794903094e-05,3.2177799100948275e-05,3.498785342268819e-05,3.393304795729042e-05,3.2386604e-05,3.1803167e-05,3.2055446e-05,3.0581832e-05,2.2928494577621426e-05,training
5,2003-11-11,3.377841853314564e-05,1,3.491473026167657e-05,3.1786071235391945e-05,3.050058370632843e-05,3.135566338346819e-05,3.23196486334971e-05,2.9476501e-05,2.9301385e-05,2.766498e-05,2.5784237e-05,2.2774216185430928e-05,training
6,2003-11-12,3.364503019183731e-05,1,3.1458762662164124e-05,2.4247123334235416e-05,2.8994492607364758e-05,2.2179552217087188e-05,3.161381680290938e-05,2.1854912e-05,2.1715403e-05,2.571246e-05,2.272456e-05,3.0057850682780847e-05,training
7,2003-11-13,3.99424248593807e-05,1,3.6590082349125945e-05,3.172794380164584e-05,3.140792001712274e-05,3.4268024883698046e-05,3.572967892584643e-05,3.0743806e-05,3.345969e-05,2.68175e-05,2.2968585e-05,4.504290955490642e-05,training
8,2003-11-14,5.289843327365268e-05,1,4.7969827774251746e-05,3.853324503026676e-05,3.653623456592097e-05,5.313168223159807e-05,4.4957785042064846e-05,4.0017527e-05,4.896139e-05,3.1286912e-05,2.6852997e-05,5.596355161630376e-05,training
9,2003-11-17,6.234036684522542e-05,1,5.749522168487287e-05,4.099026687323773e-05,4.268477569111853e-05,4.808795682538161e-05,5.294267673615809e-05,3.8311893e-05,4.5216508e-05,3.741034e-05,3.267615e-05,5.967841388937819e-05,training
10,2003-11-18,6.555221854888088e-05,1,6.239481319101162e-05,5.053552617319432e-05,4.7480281391440774e-05,7.012593270726622e-05,5.657267684332986e-05,4.8627742e-05,6.242925e-05,4.2855307e-05,3.902839e-05,5.045747146328883e-05,training
11,2003-11-19,5.757983694668666e-05,1,5.695569597140194e-05,4.433467600380584e-05,4.736822274139009e-05,4.2442107817498335e-05,5.16533584431677e-05,3.7699654e-05,4.0803065e-05,4.3347198e-05,4.1125244e-05,7.255271653282856e-05,training
12,2003-11-20,7.668327747896618e-05,1,7.338048816930002e-05,5.7381275919692135e-05,5.934121162130153e-05,6.091187422849865e-05,6.72940389945819e-05,4.7418e-05,5.536746e-05,5.0102975e-05,4.784472e-05,4.522966478087376e-05,training
13,2003-11-21,5.3059900926178415e-05,1,5.297286950146519e-05,5.120703244789036e-05,4.874973747607026e-05,5.227125021923467e-05,4.9759273999666024e-05,4.3018565e-05,4.5988567e-05,4.529251e-05,4.509343e-05,2.6611472796411217e-05,training
14,2003-11-24,3.696270343982566e-05,1,4.05937872049009e-05,3.351541505175054e-05,3.6686642110351036e-05,2.845568376586724e-05,3.6757900852893645e-05,2.8009805e-05,2.7445658e-05,3.4597586e-05,3.6296744e-05,3.9137008307497995e-05,training
15,2003-11-25,4.779222001761965e-05,1,4.6012988701771786e-05,4.26225064117083e-05,4.1538792185602484e-05,4.367332973284663e-05,4.408542258384115e-05,4.0392282e-05,4.0100196e-05,3.417909e-05,3.479941e-05,3.940324930331405e-05,training
16,2003-11-26,4.802241067695923e-05,1,4.459346539407436e-05,4.214320018653236e-05,4.081030102826426e-05,4.450267297588396e-05,4.389476113858617e-05,4.1918294e-05,4.0148985e-05,3.439674e-05,3.414062e-05,9.749148840735522e-06,training
17,2003-11-28,2.238362084040405e-05,1,2.405716261999797e-05,1.9078449993923826e-05,1.932835896913492e-05,1.95029650390995e-05,2.286033094614264e-05,2.0049172e-05,1.8891173e-05,2.2909278e-05,2.0656325e-05,3.815543256068324e-05,training
18,2003-12-01,4.6943554440560535e-05,1,4.3942982803597254e-05,3.096645085430173e-05,3.326556007412434e-05,3.344158222153348e-05,4.0437893703413824e-05,3.2067343e-05,3.1444884e-05,2.6515483e-05,2.3014829e-05,3.098050437486224e-05,training
19,2003-12-02,4.074014671687047e-05,1,3.639155903953974e-05,3.195469024612765e-05,3.084860895925074e-05,3.693675159989834e-05,3.592709959597241e-05,3.3375363e-05,3.5536836e-05,2.7786875e-05,2.4057927e-05,3.159360602739586e-05,training
20,2003-12-03,4.127023139900712e-05,1,3.979321008215541e-05,3.234451957935196e-05,3.0554709336826906e-05,3.986960821861938e-05,3.607497855649163e-05,3.5301502e-05,3.7298265e-05,2.8652717e-05,2.453933e-05,3.7772395669513474e-05,training
21,2003-12-04,4.6612382622863955e-05,1,4.3579034565732543e-05,3.047061588571131e-05,3.2852908441046526e-05,3.288466301811492e-05,4.004146831111476e-05,3.145889e-05,3.2129235e-05,3.0764717e-05,2.641833e-05,3.3098395067796085e-05,training
22,2003-12-05,4.257126462386786e-05,1,4.0434155167139296e-05,3.573489506572881e-05,3.4324169698978684e-05,3.896496928777487e-05,3.77440264533761e-05,3.2935794e-05,3.5333465e-05,3.0679665e-05,2.6315136e-05,2.622725444357257e-05,training
23,2003-12-08,3.6630510136164045e-05,1,3.5858315505826734e-05,2.7843613744293412e-05,3.0135455572295564e-05,2.6047540865806084e-05,3.285539657266664e-05,2.3624823e-05,2.4699691e-05,2.833368e-05,2.4114894e-05,4.1110344470917615e-05,training
