,DATE,RV,RSV_plus,RSV_minus
0,20110103,1.1954245697091302e-05,6.715397430154173e-06,5.238848266937128e-06
1,20110104,1.9193300137083163e-05,8.371157386296726e-06,1.0822142750786437e-05
2,20110105,1.872275944392477e-05,1.2172189458481945e-05,6.550569985442829e-06
3,20110106,2.8959239291226403e-05,1.388733154939848e-05,1.5071907741827924e-05
4,20110107,4.430222834712184e-05,2.138467331005094e-05,2.2917555037070898e-05
5,20110110,4.4929463274634024e-05,2.06486947416557e-05,2.428076853297831e-05
6,20110111,2.3598665480404713e-05,1.1310895990640299e-05,1.2287769489764413e-05
7,20110112,1.0553311423058926e-05,5.783754995319554e-06,4.769556427739372e-06
8,20110113,2.015834073750055e-05,9.85016387798348e-06,1.0308176859517071e-05
9,20110114,2.6022938423063614e-05,1.782830035626472e-05,8.19463806679889e-06
10,20110118,1.4619383551528839e-05,8.402083460430209e-06,6.2173000910986295e-06
11,20110119,2.9594694677411825e-05,1.0002890850698463e-05,1.9591803826713365e-05
12,20110120,4.955616965015338e-05,2.6309150483726766e-05,2.324701916642662e-05
13,20110121,2.602494421564296e-05,1.0477840721681845e-05,1.554710349396111e-05
14,20110124,2.7911521847916805e-05,1.7415225249071574e-05,1.0496296598845235e-05
15,20110125,3.6886065294969314e-05,2.0176182061678048e-05,1.670988323329127e-05
16,20110126,2.6330010332815096e-05,1.4220438259143307e-05,1.2109572073671782e-05
17,20110127,2.3805182341986477e-05,1.2683396748798127e-05,1.1121785593188352e-05
18,20110128,7.739101600805846e-05,2.1597787769759317e-05,5.5793228238299136e-05
19,20110131,4.1203658106832313e-05,2.313571295020444e-05,1.8067945156627857e-05
20,20110201,2.8061956009210365e-05,1.9350408638193293e-05,8.711547371017068e-06
21,20110202,2.1235894272078693e-05,9.223719385968887e-06,1.2012174886109803e-05
22,20110203,3.1572922316984385e-05,1.5569324907782895e-05,1.6003597409201484e-05
23,20110204,3.289807615121231e-05,1.6766974239032924e-05,1.613110191217937e-05
24,20110207,1.7155587819519254e-05,9.509851363164007e-06,7.645736456355238e-06
25,20110208,1.596734941960404e-05,9.180233969000885e-06,6.78711545060316e-06
26,20110209,2.4537645372658562e-05,1.0959415635732464e-05,1.3578229736926104e-05
27,20110210,3.962441475931599e-05,2.1132666057382276e-05,1.8491748701933726e-05
28,20110211,2.750408709527517e-05,1.597303076082826e-05,1.1531056334446917e-05
29,20110214,9.966572641576218e-06,4.8390108019634986e-06,5.12756183961272e-06
30,20110215,1.7640492651860222e-05,8.626063296616785e-06,9.014429355243437e-06
31,20110216,2.779202349962735e-05,1.5382723583842044e-05,1.2409299915785308e-05
32,20110217,1.6012583147169264e-05,1.0808655059044733e-05,5.20392808812453e-06
33,20110218,1.6623404561467507e-05,9.048598051548734e-06,7.574806509918771e-06
34,20110222,7.564606456248314e-05,3.0256740522239208e-05,4.538932404024394e-05
35,20110223,9.020257532514194e-05,3.825775990144635e-05,5.1944815423695616e-05
36,20110224,0.00010136422485254158,5.354755793058546e-05,4.781666692195613e-05
37,20110225,2.2369429044764403e-05,1.3142999104484038e-05,9.22642994028036e-06
