,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.01,2.0,2.0,0.0,0.0,0.7044581115539384,0.0
1,0.01,2.0,2.0,2.0,0.0,0.016027972083068054,0.0
2,0.01,2.0,2.0,2.0,2.0,0.06786589860119041,0.0
3,0.01,2.0,2.0,2.0,10.0,0.14155627153979003,0.0
4,0.01,2.0,2.0,2.0,20.0,0.01851708830453147,0.0
5,0.01,2.0,2.0,10.0,0.0,0.2019256183607514,0.0
6,0.01,2.0,2.0,10.0,2.0,0.3727565458371186,0.0
7,0.01,2.0,2.0,10.0,10.0,-0.585975095327989,0.0
8,0.01,2.0,2.0,10.0,20.0,0.3626673065005985,0.0
9,0.01,2.0,2.0,20.0,0.0,-0.039885303149740585,0.0
10,0.01,2.0,2.0,20.0,2.0,0.034510175084562444,0.0
11,0.01,2.0,2.0,20.0,10.0,-0.6505743390500387,0.0
12,0.01,2.0,2.0,20.0,20.0,0.4627293293212806,0.0
13,0.01,2.0,10.0,0.0,0.0,0.3880505968091749,0.0
14,0.01,2.0,10.0,2.0,0.0,0.13795972231668974,0.0
15,0.01,2.0,10.0,2.0,2.0,0.2734570545852317,0.0
16,0.01,2.0,10.0,2.0,10.0,0.148434902638643,0.0
17,0.01,2.0,10.0,2.0,20.0,0.3236345896397185,0.0
18,0.01,2.0,10.0,10.0,0.0,0.20921424508710795,0.0
19,0.01,2.0,10.0,10.0,2.0,0.5395181325885298,0.0
20,0.01,2.0,10.0,10.0,10.0,0.3085547136244061,0.0
21,0.01,2.0,10.0,10.0,20.0,0.18754589292700616,0.0
22,0.01,2.0,10.0,20.0,0.0,-0.2562311085798272,0.0
23,0.01,2.0,10.0,20.0,2.0,0.22219237126628588,0.0
24,0.01,2.0,10.0,20.0,10.0,0.20259319761535788,0.0
25,0.01,2.0,10.0,20.0,20.0,0.5144932918579441,0.0
26,0.01,2.0,20.0,0.0,0.0,0.564460496332048,0.0
27,0.01,2.0,20.0,2.0,0.0,0.04384735992751498,0.0
28,0.01,2.0,20.0,2.0,2.0,0.284694854232199,0.0
29,0.01,2.0,20.0,2.0,10.0,0.04540943382115403,0.0
30,0.01,2.0,20.0,2.0,20.0,0.1055839851275484,0.0
31,0.01,2.0,20.0,10.0,0.0,-0.05118554279494447,0.0
32,0.01,2.0,20.0,10.0,2.0,0.18607169080927569,0.0
33,0.01,2.0,20.0,10.0,10.0,0.3785022181381685,0.0
34,0.01,2.0,20.0,10.0,20.0,0.36480209564262894,0.0
35,0.01,2.0,20.0,20.0,0.0,0.3562203484990229,0.0
36,0.01,2.0,20.0,20.0,2.0,0.3559430507161205,0.0
37,0.01,2.0,20.0,20.0,10.0,0.33969103255374344,0.0
38,0.01,2.0,20.0,20.0,20.0,0.3650001763859199,0.0
39,0.01,2.0,40.0,0.0,0.0,-0.1222697574142484,0.0
40,0.01,2.0,40.0,2.0,0.0,-0.04019720492365664,0.0
41,0.01,2.0,40.0,2.0,2.0,0.369380609909914,0.0
42,0.01,2.0,40.0,2.0,10.0,0.2688819873933439,0.0
43,0.01,2.0,40.0,2.0,20.0,0.1322547196149091,0.0
44,0.01,2.0,40.0,10.0,0.0,0.416328270650328,0.0
45,0.01,2.0,40.0,10.0,2.0,0.17670765313078365,0.0
46,0.01,2.0,40.0,10.0,10.0,-0.01787446447593055,0.0
47,0.01,2.0,40.0,10.0,20.0,-0.5467759617263833,0.0
48,0.01,2.0,40.0,20.0,0.0,0.026727567853924942,0.0
49,0.01,2.0,40.0,20.0,2.0,-0.19501902779701785,0.0
50,0.01,2.0,40.0,20.0,10.0,-0.1992026479019794,0.0
51,0.01,2.0,40.0,20.0,20.0,-0.18864710343955804,0.0
52,0.01,20.0,2.0,0.0,0.0,0.4075701911278642,0.0
53,0.01,20.0,2.0,2.0,0.0,0.14420733698072308,0.0
54,0.01,20.0,2.0,2.0,2.0,0.3123348048477101,0.0
55,0.01,20.0,2.0,2.0,10.0,0.3755660638786137,0.0
56,0.01,20.0,2.0,2.0,20.0,-0.3491838857645784,0.0
57,0.01,20.0,2.0,10.0,0.0,-0.7668864080869816,0.0
58,0.01,20.0,2.0,10.0,2.0,-0.3629353352270063,0.0
59,0.01,20.0,2.0,10.0,10.0,0.4947257468035473,0.0
60,0.01,20.0,2.0,10.0,20.0,-0.2370645102587952,0.0
61,0.01,20.0,2.0,20.0,0.0,0.2225630573060109,0.0
62,0.01,20.0,2.0,20.0,2.0,0.3680226159972402,0.0
63,0.01,20.0,2.0,20.0,10.0,-0.12141894726524215,0.0
64,0.01,20.0,2.0,20.0,20.0,-0.4588256366796499,0.0
65,0.01,20.0,10.0,0.0,0.0,0.6664294669310211,0.0
66,0.01,20.0,10.0,2.0,0.0,-0.10103557546199626,0.0
67,0.01,20.0,10.0,2.0,2.0,-0.09488573845379332,0.0
68,0.01,20.0,10.0,2.0,10.0,-0.4004551197455383,0.0
69,0.01,20.0,10.0,2.0,20.0,0.3251506997501525,0.0
70,0.01,20.0,10.0,10.0,0.0,0.29401835321248826,0.0
71,0.01,20.0,10.0,10.0,2.0,-0.10400259635144593,0.0
72,0.01,20.0,10.0,10.0,10.0,0.4698269487777162,0.0
73,0.01,20.0,10.0,10.0,20.0,0.2884824857528798,0.0
74,0.01,20.0,10.0,20.0,0.0,-0.03159047363109413,0.0
75,0.01,20.0,10.0,20.0,2.0,0.37249672774772735,0.0
76,0.01,20.0,10.0,20.0,10.0,0.2381195815137249,0.0
77,0.01,20.0,10.0,20.0,20.0,0.4236938066205789,0.0
78,0.01,20.0,20.0,0.0,0.0,0.3973330517577209,0.0
79,0.01,20.0,20.0,2.0,0.0,0.3298589315117294,0.0
80,0.01,20.0,20.0,2.0,2.0,0.449505214882906,0.0
81,0.01,20.0,20.0,2.0,10.0,-0.030829431661591574,0.0
82,0.01,20.0,20.0,2.0,20.0,0.16486450192136026,0.0
83,0.01,20.0,20.0,10.0,0.0,-0.16586812762177872,0.0
84,0.01,20.0,20.0,10.0,2.0,-0.3504391001174718,0.0
85,0.01,20.0,20.0,10.0,10.0,0.2852620458118069,0.0
86,0.01,20.0,20.0,10.0,20.0,0.5868311583800488,0.0
87,0.01,20.0,20.0,20.0,0.0,0.3652419097242208,0.0
88,0.01,20.0,20.0,20.0,2.0,-0.10304674367982547,0.0
89,0.01,20.0,20.0,20.0,10.0,0.4635689557578737,0.0
90,0.01,20.0,20.0,20.0,20.0,0.18571207732398576,0.0
91,0.01,20.0,40.0,0.0,0.0,0.5387242246832411,0.0
92,0.01,20.0,40.0,2.0,0.0,0.1561017670923457,0.0
93,0.01,20.0,40.0,2.0,2.0,0.0936979371531812,0.0
94,0.01,20.0,40.0,2.0,10.0,0.4262365561269381,0.0
95,0.01,20.0,40.0,2.0,20.0,-0.1463915734064518,0.0
96,0.01,20.0,40.0,10.0,0.0,0.5145426323915175,0.0
97,0.01,20.0,40.0,10.0,2.0,0.02990933215382952,0.0
98,0.01,20.0,40.0,10.0,10.0,-0.31596780218070963,0.0
99,0.01,20.0,40.0,10.0,20.0,-0.6213785073541738,0.0
100,0.01,20.0,40.0,20.0,0.0,-0.1608490344746235,0.0
101,0.01,20.0,40.0,20.0,2.0,0.3754877723937429,0.0
102,0.01,20.0,40.0,20.0,10.0,-0.10213021978131187,0.0
103,0.01,20.0,40.0,20.0,20.0,0.3867456413461233,0.0
104,0.01,40.0,2.0,0.0,0.0,-0.1395062401528362,0.0
105,0.01,40.0,2.0,2.0,0.0,-0.10885851376197607,0.0
106,0.01,40.0,2.0,2.0,2.0,-0.17072624930102076,0.0
107,0.01,40.0,2.0,2.0,10.0,0.1161867030178012,0.0
108,0.01,40.0,2.0,2.0,20.0,-0.12109607682999154,0.0
109,0.01,40.0,2.0,10.0,0.0,-0.0919666649235551,0.0
110,0.01,40.0,2.0,10.0,2.0,0.12694166677682173,0.0
111,0.01,40.0,2.0,10.0,10.0,0.2990266468048587,0.0
112,0.01,40.0,2.0,10.0,20.0,0.3701915797001233,0.0
113,0.01,40.0,2.0,20.0,0.0,0.4672007750899981,0.0
114,0.01,40.0,2.0,20.0,2.0,0.4003761618764907,0.0
115,0.01,40.0,2.0,20.0,10.0,0.4712651830651804,0.0
116,0.01,40.0,2.0,20.0,20.0,0.2382886191058299,0.0
117,0.01,40.0,10.0,0.0,0.0,0.4804493730187422,0.0
118,0.01,40.0,10.0,2.0,0.0,0.19668743477728245,0.0
119,0.01,40.0,10.0,2.0,2.0,0.08623293805675414,0.0
120,0.01,40.0,10.0,2.0,10.0,0.009270616697333978,0.0
121,0.01,40.0,10.0,2.0,20.0,-0.04743285997956959,0.0
122,0.01,40.0,10.0,10.0,0.0,0.3570860400640269,0.0
123,0.01,40.0,10.0,10.0,2.0,0.1545956689739132,0.0
124,0.01,40.0,10.0,10.0,10.0,0.6157924246574477,0.0
125,0.01,40.0,10.0,10.0,20.0,0.061610662571803025,0.0
126,0.01,40.0,10.0,20.0,0.0,0.15757350032582096,0.0
127,0.01,40.0,10.0,20.0,2.0,-0.0922068365467279,0.0
128,0.01,40.0,10.0,20.0,10.0,-0.8402429827566171,0.0
129,0.01,40.0,10.0,20.0,20.0,0.10811706274268884,0.0
130,0.01,40.0,20.0,0.0,0.0,0.571341883777786,0.0
131,0.01,40.0,20.0,2.0,0.0,0.07680307812339326,0.0
132,0.01,40.0,20.0,2.0,2.0,0.2614223316055373,0.0
133,0.01,40.0,20.0,2.0,10.0,0.27044927731567997,0.0
134,0.01,40.0,20.0,2.0,20.0,-1.7201651639722797,0.0
135,0.01,40.0,20.0,10.0,0.0,0.08901418158774055,0.0
136,0.01,40.0,20.0,10.0,2.0,-0.2877092626491409,0.0
137,0.01,40.0,20.0,10.0,10.0,-0.16747973088591994,0.0
138,0.01,40.0,20.0,10.0,20.0,0.2419564465834455,0.0
139,0.01,40.0,20.0,20.0,0.0,0.057362617858360825,0.0
140,0.01,40.0,20.0,20.0,2.0,0.33792121292952115,0.0
141,0.01,40.0,20.0,20.0,10.0,0.35678995966968885,0.0
142,0.01,40.0,20.0,20.0,20.0,-0.24821830147370605,0.0
143,0.01,40.0,40.0,0.0,0.0,0.5201554987081983,0.0
144,0.01,40.0,40.0,2.0,0.0,0.5210938984434218,0.0
145,0.01,40.0,40.0,2.0,2.0,-0.1549162773662922,0.0
146,0.01,40.0,40.0,2.0,10.0,-0.2442298183428753,0.0
147,0.01,40.0,40.0,2.0,20.0,0.5200871876802671,0.0
148,0.01,40.0,40.0,10.0,0.0,0.019859802742837385,0.0
149,0.01,40.0,40.0,10.0,2.0,0.008530482930145578,0.0
150,0.01,40.0,40.0,10.0,10.0,-0.23794294398449375,0.0
151,0.01,40.0,40.0,10.0,20.0,-0.26390670223858115,0.0
152,0.01,40.0,40.0,20.0,0.0,-0.01917618798175713,0.0
153,0.01,40.0,40.0,20.0,2.0,0.2303380997097878,0.0
154,0.01,40.0,40.0,20.0,10.0,-0.21446678529706556,0.0
155,0.01,40.0,40.0,20.0,20.0,0.12861924652450218,0.0
156,0.01,20.0,20.0,20.0,10.0,0.2318149086458165,
157,0.01,20.0,10.0,0.0,0.0,-0.7719535603940941,
158,0.011000000000000001,22.0,20.0,20.0,10.0,0.4121656402769658,
159,0.01,20.0,10.0,0.0,20.0,0.5677209778369523,
160,0.01,2.0,10.0,10.0,2.0,0.3682019763116357,
161,0.01,20.0,10.0,10.0,0.0,-0.3880542273859986,
162,0.001,17.0,10.0,10.0,2.0,0.14439846099140566,
163,0.001,20.0,10.0,10.0,0.0,0.20215586300866528,
164,0.01,20.0,40.0,10.0,0.0,0.09676041664975976,
165,0.01,20.0,40.0,10.0,0.0,0.17913745464884911,
166,0.01,37.0,40.0,10.0,16.0,-0.37674998530744186,
167,0.006,20.0,40.0,10.0,0.0,-0.04779621458106531,
168,0.01,40.0,40.0,0.0,0.0,0.5349788393337345,
169,0.01,20.0,20.0,2.0,2.0,0.07255180908329595,
170,0.01,40.0,37.0,0.0,0.0,0.6450117511103286,
171,0.01,20.0,20.0,2.0,0.0,-0.17866258125401754,
172,0.01,2.0,40.0,10.0,0.0,0.427536857746614,
173,0.01,2.0,20.0,10.0,10.0,0.12248573581089772,
174,0.001,2.0,40.0,10.0,12.0,0.2734851742201325,
175,0.01,2.0,20.0,12.0,10.0,0.3291314572418893,
176,0.01,20.0,10.0,20.0,20.0,-0.006165482168085434,
177,0.01,20.0,10.0,0.0,20.0,0.6831609587688269,
178,0.011000000000000001,20.0,10.0,6.0,20.0,0.4489059686074446,
179,0.01,20.0,10.0,6.0,20.0,0.16363829560847332,
180,0.01,2.0,20.0,10.0,10.0,0.051955893228973433,
181,0.01,40.0,2.0,20.0,10.0,0.2938555328890171,
182,0.01,2.0,20.0,18.0,8.0,0.4325475195265147,
183,0.01,37.0,2.0,20.0,10.0,0.08466678887987522,
184,0.01,2.0,10.0,20.0,20.0,0.2043778991290166,
185,0.01,2.0,40.0,10.0,0.0,-0.0210571783598188,
186,0.011000000000000001,2.0,10.0,20.0,12.0,0.2688324194580911,
187,0.01,2.0,40.0,10.0,16.0,-0.16546157712897158,
