,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.01,2.0,2.0,0.0,0.0,0.5206028986971077,0
1,0.01,2.0,2.0,2.0,0.0,1.208710737057182,0
2,0.01,2.0,2.0,2.0,2.0,1.2419407522397097,0
3,0.01,2.0,2.0,2.0,10.0,0.7376999329021441,0
4,0.01,2.0,2.0,2.0,20.0,1.308212338548198,0
5,0.01,2.0,2.0,10.0,0.0,1.1138819262731459,0
6,0.01,2.0,2.0,10.0,2.0,0.6773597361065564,0
7,0.01,2.0,2.0,10.0,10.0,1.1312053932147226,0
8,0.01,2.0,2.0,10.0,20.0,1.250134696499181,0
9,0.01,2.0,2.0,20.0,0.0,1.2702474928354301,0
10,0.01,2.0,2.0,20.0,2.0,1.0899153036678078,0
11,0.01,2.0,2.0,20.0,10.0,1.028587976015328,0
12,0.01,2.0,2.0,20.0,20.0,1.001716266276989,0
13,0.01,2.0,10.0,0.0,0.0,1.2332033371028137,0
14,0.01,2.0,10.0,2.0,0.0,-0.050379352940539635,0
15,0.01,2.0,10.0,2.0,2.0,-0.03592961367543124,0
16,0.01,2.0,10.0,2.0,10.0,0.9612108676575715,0
17,0.01,2.0,10.0,2.0,20.0,0.7586569874473883,0
18,0.01,2.0,10.0,10.0,0.0,1.1309798182147297,0
19,0.01,2.0,10.0,10.0,2.0,-0.02101818324329996,0
20,0.01,2.0,10.0,10.0,10.0,1.1043396894283442,0
21,0.01,2.0,10.0,10.0,20.0,0.784389116668485,0
22,0.01,2.0,10.0,20.0,0.0,0.8853747408031487,0
23,0.01,2.0,10.0,20.0,2.0,0.9236832182252123,0
24,0.01,2.0,10.0,20.0,10.0,0.9562436254793925,0
25,0.01,2.0,10.0,20.0,20.0,1.0388761734202265,0
26,0.01,2.0,20.0,0.0,0.0,1.0697256131149966,0
27,0.01,2.0,20.0,2.0,0.0,0.9997760700398862,0
28,0.01,2.0,20.0,2.0,2.0,0.27496168944088206,0
29,0.01,2.0,20.0,2.0,10.0,1.3131083329742648,0
30,0.01,2.0,20.0,2.0,20.0,1.0453734723073438,0
31,0.01,2.0,20.0,10.0,0.0,0.9575391591619886,0
32,0.01,2.0,20.0,10.0,2.0,0.9966187865298834,0
33,0.01,2.0,20.0,10.0,10.0,1.0407075669471677,0
34,0.01,2.0,20.0,10.0,20.0,1.3531469017970055,0
35,0.01,2.0,20.0,20.0,0.0,1.1104344876027312,0
36,0.01,2.0,20.0,20.0,2.0,0.9199443677388317,0
