,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.01,2.0,2.0,0.0,0.0,22.37305788094149,0
1,0.01,2.0,2.0,2.0,0.0,23.702794590970015,0
2,0.01,2.0,2.0,2.0,2.0,29.934235068070716,0
3,0.01,2.0,2.0,2.0,10.0,27.906874084813808,0
4,0.01,2.0,2.0,2.0,20.0,35.700378683300556,0
5,0.01,2.0,2.0,10.0,0.0,32.91467424417239,0
6,0.01,2.0,2.0,10.0,2.0,34.615937636698824,0
7,0.01,2.0,2.0,10.0,10.0,26.410791168542733,0
8,0.01,2.0,2.0,10.0,20.0,33.64322895182154,0
9,0.01,2.0,2.0,20.0,0.0,31.93829795637174,0
10,0.01,2.0,2.0,20.0,2.0,19.313404137511814,0
11,0.01,2.0,2.0,20.0,10.0,28.15159682496111,0
12,0.01,2.0,2.0,20.0,20.0,33.64233471937886,0
13,0.01,2.0,10.0,0.0,0.0,31.23799819219021,0
14,0.01,2.0,10.0,2.0,0.0,31.26715077458323,0
15,0.01,2.0,10.0,2.0,2.0,33.44642709864553,0
16,0.01,2.0,10.0,2.0,10.0,31.771084193703842,0
17,0.01,2.0,10.0,2.0,20.0,19.65688602959947,0
18,0.01,2.0,10.0,10.0,0.0,22.034475435433134,0
19,0.01,2.0,10.0,10.0,2.0,31.169596874250423,0
20,0.01,2.0,10.0,10.0,10.0,31.17746100150062,0
21,0.01,2.0,10.0,10.0,20.0,27.627121737695205,0
22,0.01,2.0,10.0,20.0,0.0,27.715956613032894,0
23,0.01,2.0,10.0,20.0,2.0,15.846892343022347,0
24,0.01,2.0,10.0,20.0,10.0,30.253051819193878,0
25,0.01,2.0,10.0,20.0,20.0,25.467316244584786,0
26,0.01,2.0,20.0,0.0,0.0,30.13395780832331,0
27,0.01,2.0,20.0,2.0,0.0,29.62508621067414,0
28,0.01,2.0,20.0,2.0,2.0,19.15964432210125,0
29,0.01,2.0,20.0,2.0,10.0,32.30934074790777,0
30,0.01,2.0,20.0,2.0,20.0,31.153566528789867,0
31,0.01,2.0,20.0,10.0,0.0,24.237129823715623,0
32,0.01,2.0,20.0,10.0,2.0,19.25853658395919,0
33,0.01,2.0,20.0,10.0,10.0,29.0682104346115,0
34,0.01,2.0,20.0,10.0,20.0,19.33602447555796,0
35,0.01,2.0,20.0,20.0,0.0,31.3874397887034,0
36,0.01,2.0,20.0,20.0,2.0,24.85183408717438,0
37,0.01,2.0,20.0,20.0,10.0,28.762168445946216,0
38,0.01,2.0,20.0,20.0,20.0,22.877814175998846,0
39,0.01,2.0,40.0,0.0,0.0,24.451949340558407,0
