,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.001,2.0,2.0,0.0,0.0,159.8786083722291,0.0
1,0.001,2.0,2.0,2.0,0.0,180.65813257656052,0.0
2,0.001,2.0,2.0,2.0,2.0,179.4210889322911,0.0
3,0.001,2.0,2.0,2.0,10.0,191.7154521183144,0.0
4,0.001,2.0,2.0,2.0,20.0,222.56490857807086,0.0
5,0.001,2.0,2.0,10.0,0.0,179.87133403579918,0.0
6,0.001,2.0,2.0,10.0,2.0,208.8476234840745,0.0
7,0.001,2.0,2.0,10.0,10.0,191.30617342454929,0.0
8,0.001,2.0,2.0,10.0,20.0,207.3964277544267,0.0
9,0.001,2.0,2.0,20.0,0.0,189.97649156388084,0.0
10,0.001,2.0,2.0,20.0,2.0,190.34058681577895,0.0
11,0.001,2.0,2.0,20.0,10.0,221.2232443620654,0.0
12,0.001,2.0,2.0,20.0,20.0,200.59921577609646,0.0
13,0.001,2.0,10.0,0.0,0.0,173.49663226712772,0.0
14,0.001,2.0,10.0,2.0,0.0,187.55822708674447,0.0
15,0.001,2.0,10.0,2.0,2.0,224.4332903044917,0.0
16,0.001,2.0,10.0,2.0,10.0,240.8935372800151,0.0
17,0.001,2.0,10.0,2.0,20.0,231.11226718326458,0.0
18,0.001,2.0,10.0,10.0,0.0,190.78575111478781,0.0
19,0.001,2.0,10.0,10.0,2.0,266.23929792760697,0.0
20,0.001,2.0,10.0,10.0,10.0,220.80468157168912,0.0
21,0.001,2.0,10.0,10.0,20.0,265.6075593301183,0.0
22,0.001,2.0,10.0,20.0,0.0,228.2338752492281,0.0
23,0.001,2.0,10.0,20.0,2.0,241.43445474298335,0.0
24,0.001,2.0,10.0,20.0,10.0,215.26246066542012,0.0
25,0.001,2.0,10.0,20.0,20.0,236.14249927122123,0.0
26,0.001,2.0,20.0,0.0,0.0,198.32176540069682,0.0
27,0.001,2.0,20.0,2.0,0.0,194.76891972725394,0.0
28,0.001,2.0,20.0,2.0,2.0,251.30121516286843,0.0
29,0.001,2.0,20.0,2.0,10.0,232.2014101953381,0.0
30,0.001,2.0,20.0,2.0,20.0,232.1906911449677,0.0
31,0.001,2.0,20.0,10.0,0.0,267.74851164924513,0.0
