,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.01,2.0,2.0,0.0,0.0,0.39045052528070356,0
1,0.01,2.0,2.0,2.0,0.0,1.0780295046664161,0
2,0.01,2.0,2.0,2.0,2.0,1.1287143340438686,0
3,0.01,2.0,2.0,2.0,10.0,1.2357051146754436,0
4,0.01,2.0,2.0,2.0,20.0,0.8250603694708082,0
5,0.01,2.0,2.0,10.0,0.0,1.223486647322904,0
6,0.01,2.0,2.0,10.0,2.0,0.8357866693546202,0
7,0.01,2.0,2.0,10.0,10.0,1.1950742558165488,0
8,0.01,2.0,2.0,10.0,20.0,1.1200855922477997,0
9,0.01,2.0,2.0,20.0,0.0,1.1637710945889699,0
10,0.01,2.0,2.0,20.0,2.0,0.9851393443648812,0
11,0.01,2.0,2.0,20.0,10.0,1.1206171115457875,0
12,0.01,2.0,2.0,20.0,20.0,1.2856487797215848,0
13,0.01,2.0,10.0,0.0,0.0,0.511669183292228,0
14,0.01,2.0,10.0,2.0,0.0,1.0160007036181,0
15,0.01,2.0,10.0,2.0,2.0,1.2537513029768488,0
16,0.01,2.0,10.0,2.0,10.0,0.8376603925034881,0
17,0.01,2.0,10.0,2.0,20.0,0.5555043353773659,0
18,0.01,2.0,10.0,10.0,0.0,1.0028238283693043,0
19,0.01,2.0,10.0,10.0,2.0,1.0224155249820714,0
20,0.01,2.0,10.0,10.0,10.0,0.9766420019651391,0
21,0.01,2.0,10.0,10.0,20.0,1.0670283998213095,0
22,0.01,2.0,10.0,20.0,0.0,0.8399141330844507,0
23,0.01,2.0,10.0,20.0,2.0,1.2419122131635811,0
24,0.01,2.0,10.0,20.0,10.0,1.1192155302802684,0
25,0.01,2.0,10.0,20.0,20.0,1.0126126272112592,0
26,0.01,2.0,20.0,0.0,0.0,1.287403000570933,0
27,0.01,2.0,20.0,2.0,0.0,0.2751660750609062,0
28,0.01,2.0,20.0,2.0,2.0,0.8157334322553401,0
29,0.01,2.0,20.0,2.0,10.0,1.2895966275230948,0
30,0.01,2.0,20.0,2.0,20.0,0.918898249209215,0
31,0.01,2.0,20.0,10.0,0.0,1.1365358740815021,0
32,0.01,2.0,20.0,10.0,2.0,0.47997524100759215,0
33,0.01,2.0,20.0,10.0,10.0,1.1417600135024395,0
34,0.01,2.0,20.0,10.0,20.0,1.0501567925566409,0
35,0.01,2.0,20.0,20.0,0.0,1.360645218991594,0
36,0.01,2.0,20.0,20.0,2.0,1.2524332912855596,0
37,0.01,2.0,20.0,20.0,10.0,1.0423619362330907,0
38,0.01,2.0,20.0,20.0,20.0,1.0285226339962255,0
39,0.01,2.0,40.0,0.0,0.0,1.3071827244407277,0
40,0.01,2.0,40.0,2.0,0.0,1.180819757937629,0
41,0.01,2.0,40.0,2.0,2.0,1.306174582290383,0
42,0.01,2.0,40.0,2.0,10.0,1.1643563545714342,0
43,0.01,2.0,40.0,2.0,20.0,-0.009835578213554852,0
44,0.01,2.0,40.0,10.0,0.0,1.3423461407125628,0
45,0.01,2.0,40.0,10.0,2.0,1.1098037906680864,0
46,0.01,2.0,40.0,10.0,10.0,1.0879058513572621,0
47,0.01,2.0,40.0,10.0,20.0,0.8475299907489314,0
48,0.01,2.0,40.0,20.0,0.0,1.1725724118463419,0
49,0.01,2.0,40.0,20.0,2.0,0.790631761660722,0
50,0.01,2.0,40.0,20.0,10.0,1.0778937602816878,0
51,0.01,2.0,40.0,20.0,20.0,1.0432408034186385,0
52,0.01,20.0,2.0,0.0,0.0,1.3715545241175957,0
53,0.01,20.0,2.0,2.0,0.0,1.40551960503289,0
54,0.01,20.0,2.0,2.0,2.0,1.3717780170644551,0
55,0.01,20.0,2.0,2.0,10.0,1.1961168670418871,0
56,0.01,20.0,2.0,2.0,20.0,1.1557182065522467,0
57,0.01,20.0,2.0,10.0,0.0,1.4106499093484253,0
58,0.01,20.0,2.0,10.0,2.0,1.193169591766181,0
59,0.01,20.0,2.0,10.0,10.0,1.1764589670060563,0
60,0.01,20.0,2.0,10.0,20.0,1.1979946259526884,0
61,0.01,20.0,2.0,20.0,0.0,-0.0022113948043968046,0
62,0.01,20.0,2.0,20.0,2.0,0.039016314148388465,0
