,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.001,2.0,2.0,0.0,0.0,111.44737068718908,0.0
1,0.001,2.0,2.0,2.0,0.0,115.97617852706007,0.0
2,0.001,2.0,2.0,2.0,2.0,115.47983604320021,0.0
3,0.001,2.0,2.0,2.0,10.0,114.86113095492992,0.0
4,0.001,2.0,2.0,2.0,20.0,114.40582905241087,0.0
5,0.001,2.0,2.0,10.0,0.0,121.42479675070422,0.0
6,0.001,2.0,2.0,10.0,2.0,103.29036619407731,0.0
7,0.001,2.0,2.0,10.0,10.0,114.6350086417282,0.0
8,0.001,2.0,2.0,10.0,20.0,128.31085628054623,0.0
9,0.001,2.0,2.0,20.0,0.0,121.74699109300602,0.0
10,0.001,2.0,2.0,20.0,2.0,120.93629308065607,0.0
11,0.001,2.0,2.0,20.0,10.0,132.63967521206874,0.0
12,0.001,2.0,2.0,20.0,20.0,114.9510155888831,0.0
13,0.001,2.0,10.0,0.0,0.0,120.03240967841585,0.0
14,0.001,2.0,10.0,2.0,0.0,115.67506711626987,0.0
15,0.001,2.0,10.0,2.0,2.0,124.12455646683941,0.0
16,0.001,2.0,10.0,2.0,10.0,118.8966079196707,0.0
17,0.001,2.0,10.0,2.0,20.0,118.34611453793724,0.0
18,0.001,2.0,10.0,10.0,0.0,123.58052248437679,0.0
19,0.001,2.0,10.0,10.0,2.0,121.94578387232157,0.0
20,0.001,2.0,10.0,10.0,10.0,115.36788703382588,0.0
21,0.001,2.0,10.0,10.0,20.0,131.2935054094804,0.0
22,0.001,2.0,10.0,20.0,0.0,118.3115113811505,0.0
23,0.001,2.0,10.0,20.0,2.0,124.86108703889387,0.0
24,0.001,2.0,10.0,20.0,10.0,127.2433249098676,0.0
25,0.001,2.0,10.0,20.0,20.0,131.83720134446213,0.0
26,0.001,2.0,20.0,0.0,0.0,124.32338001467377,0.0
27,0.001,2.0,20.0,2.0,0.0,117.57993692790428,0.0
28,0.001,2.0,20.0,2.0,2.0,114.62957864952958,0.0
29,0.001,2.0,20.0,2.0,10.0,126.7545759277995,0.0
30,0.001,2.0,20.0,2.0,20.0,131.4107225664015,0.0
31,0.001,2.0,20.0,10.0,0.0,116.44201665727286,0.0
32,0.001,2.0,20.0,10.0,2.0,123.86060702974217,0.0
33,0.001,2.0,20.0,10.0,10.0,135.26685270398724,0.0
34,0.001,2.0,20.0,10.0,20.0,123.04919844527578,0.0
35,0.001,2.0,20.0,20.0,0.0,127.47980764818122,0.0
36,0.001,2.0,20.0,20.0,2.0,101.93939027020845,0.0
37,0.001,2.0,20.0,20.0,10.0,130.78501782699155,0.0
38,0.001,2.0,20.0,20.0,20.0,131.98736288933256,0.0
39,0.001,2.0,40.0,0.0,0.0,121.21180020786105,0.0
40,0.001,2.0,40.0,2.0,0.0,106.985665911833,0.0
41,0.001,2.0,40.0,2.0,2.0,128.03810346942586,0.0
42,0.001,2.0,40.0,2.0,10.0,131.41911583582552,0.0
43,0.001,2.0,40.0,2.0,20.0,128.2611094845827,0.0
44,0.001,2.0,40.0,10.0,0.0,127.95903751860494,0.0
45,0.001,2.0,40.0,10.0,2.0,109.3642156069613,0.0
46,0.001,2.0,40.0,10.0,10.0,121.8437446994023,0.0
47,0.001,2.0,40.0,10.0,20.0,103.94543333451824,0.0
48,0.001,2.0,40.0,20.0,0.0,127.11186653514109,0.0
49,0.001,2.0,40.0,20.0,2.0,128.96366740738287,0.0
50,0.001,2.0,40.0,20.0,10.0,130.50397557743554,0.0
51,0.001,2.0,40.0,20.0,20.0,129.58488485787623,0.0
52,0.001,20.0,2.0,0.0,0.0,113.68844917185336,0.0
53,0.001,20.0,2.0,2.0,0.0,113.91424066608342,0.0
54,0.001,20.0,2.0,2.0,2.0,123.5334024898865,0.0
55,0.001,20.0,2.0,2.0,10.0,118.22325997579277,0.0
56,0.001,20.0,2.0,2.0,20.0,117.57340642883068,0.0
57,0.001,20.0,2.0,10.0,0.0,117.10694636375588,0.0
58,0.001,20.0,2.0,10.0,2.0,109.94840368035801,0.0
59,0.001,20.0,2.0,10.0,10.0,120.62746294098021,0.0
60,0.001,20.0,2.0,10.0,20.0,121.07173713497869,0.0
61,0.001,20.0,2.0,20.0,0.0,100.27793149579212,0.0
62,0.001,20.0,2.0,20.0,2.0,123.547520199541,0.0
63,0.001,20.0,2.0,20.0,10.0,130.35132668471618,0.0
64,0.001,20.0,2.0,20.0,20.0,126.12307945995629,0.0
65,0.001,20.0,10.0,0.0,0.0,132.12283688681362,0.0
66,0.001,20.0,10.0,2.0,0.0,120.97550423610876,0.0
67,0.001,20.0,10.0,2.0,2.0,120.46619634776405,0.0
68,0.001,20.0,10.0,2.0,10.0,117.49609728646826,0.0
69,0.001,20.0,10.0,2.0,20.0,134.77422032138742,0.0
70,0.001,20.0,10.0,10.0,0.0,118.8993066976657,0.0
71,0.001,20.0,10.0,10.0,2.0,119.4211632145275,0.0
72,0.001,20.0,10.0,10.0,10.0,119.59081903121991,0.0
73,0.001,20.0,10.0,10.0,20.0,136.96957807218425,0.0
74,0.001,20.0,10.0,20.0,0.0,131.25364854761278,0.0
75,0.001,20.0,10.0,20.0,2.0,124.30406273633415,0.0
76,0.001,20.0,10.0,20.0,10.0,124.80262768068329,0.0
77,0.001,20.0,10.0,20.0,20.0,131.94957912598426,0.0
78,0.001,20.0,20.0,0.0,0.0,119.51805209002949,0.0
79,0.001,20.0,20.0,2.0,0.0,123.1770873068038,0.0
80,0.001,20.0,20.0,2.0,2.0,126.97186479719113,0.0
81,0.001,20.0,20.0,2.0,10.0,106.75624424235613,0.0
82,0.001,20.0,20.0,2.0,20.0,111.76869265190577,0.0
83,0.001,20.0,20.0,10.0,0.0,107.0123602788622,0.0
84,0.001,20.0,20.0,10.0,2.0,134.82815342574656,0.0
85,0.001,20.0,20.0,10.0,10.0,120.18046765767427,0.0
86,0.001,20.0,20.0,10.0,20.0,134.3956306819164,0.0
87,0.001,20.0,20.0,20.0,0.0,105.08289946771679,0.0
88,0.001,20.0,20.0,20.0,2.0,88.054848512614,0.0
89,0.001,20.0,20.0,20.0,10.0,131.9287263896777,0.0
90,0.001,20.0,20.0,20.0,20.0,122.67645634740622,0.0
91,0.001,20.0,40.0,0.0,0.0,128.67505123221468,0.0
92,0.001,20.0,40.0,2.0,0.0,120.20104118205441,0.0
93,0.001,20.0,40.0,2.0,2.0,109.20383334698192,0.0
94,0.001,20.0,40.0,2.0,10.0,142.65129778423437,0.0
95,0.001,20.0,40.0,2.0,20.0,136.53079162751058,0.0
96,0.001,20.0,40.0,10.0,0.0,118.52149342466957,0.0
97,0.001,20.0,40.0,10.0,2.0,122.68839077203623,0.0
98,0.001,20.0,40.0,10.0,10.0,126.85208991043173,0.0
99,0.001,20.0,40.0,10.0,20.0,130.41499742756406,0.0
100,0.001,20.0,40.0,20.0,0.0,119.7161442554456,0.0
101,0.001,20.0,40.0,20.0,2.0,134.75860035140954,0.0
102,0.001,20.0,40.0,20.0,10.0,136.5628937640402,0.0
103,0.001,20.0,40.0,20.0,20.0,127.70542540328142,0.0
104,0.001,40.0,2.0,0.0,0.0,104.45222481641977,0.0
105,0.001,40.0,2.0,2.0,0.0,132.47912521065132,0.0
106,0.001,40.0,2.0,2.0,2.0,129.9176542344861,0.0
107,0.001,40.0,2.0,2.0,10.0,126.75076964929069,0.0
108,0.001,40.0,2.0,2.0,20.0,125.45505434083401,0.0
109,0.001,40.0,2.0,10.0,0.0,127.18736823447318,0.0
110,0.001,40.0,2.0,10.0,2.0,120.08530708407942,0.0
111,0.001,40.0,2.0,10.0,10.0,137.60449615407313,0.0
112,0.001,40.0,2.0,10.0,20.0,125.34470782401772,0.0
113,0.001,40.0,2.0,20.0,0.0,133.93300231661604,0.0
114,0.001,40.0,2.0,20.0,2.0,126.82180811871716,0.0
115,0.001,40.0,2.0,20.0,10.0,129.07772569203178,0.0
116,0.001,40.0,2.0,20.0,20.0,130.27821956849456,0.0
117,0.001,40.0,10.0,0.0,0.0,134.4813361792909,0.0
118,0.001,40.0,10.0,2.0,0.0,104.30851653075426,0.0
119,0.001,40.0,10.0,2.0,2.0,115.32918552191812,0.0
120,0.001,40.0,10.0,2.0,10.0,127.86847282400127,0.0
121,0.001,40.0,10.0,2.0,20.0,127.83977930160208,0.0
122,0.001,40.0,10.0,10.0,0.0,126.17687257756869,0.0
123,0.001,40.0,10.0,10.0,2.0,135.43720163201343,0.0
124,0.001,40.0,10.0,10.0,10.0,126.19930633739244,0.0
125,0.001,40.0,10.0,10.0,20.0,126.86000825008688,0.0
126,0.001,40.0,10.0,20.0,0.0,133.97945825067478,0.0
127,0.001,40.0,10.0,20.0,2.0,129.67735065815404,0.0
128,0.001,40.0,10.0,20.0,10.0,135.15230001671267,0.0
129,0.001,40.0,10.0,20.0,20.0,129.81591911812512,0.0
130,0.001,40.0,20.0,0.0,0.0,111.70917468371206,0.0
131,0.001,40.0,20.0,2.0,0.0,133.75268924190146,0.0
132,0.001,40.0,20.0,2.0,2.0,125.62965109918909,0.0
133,0.001,40.0,20.0,2.0,10.0,122.39480006175829,0.0
134,0.001,40.0,20.0,2.0,20.0,134.13006004291444,0.0
135,0.001,40.0,20.0,10.0,0.0,134.71243499106487,0.0
136,0.001,40.0,20.0,10.0,2.0,122.47696948555418,0.0
137,0.001,40.0,20.0,10.0,10.0,110.67880375521268,0.0
138,0.001,40.0,20.0,10.0,20.0,127.43083592138944,0.0
139,0.001,40.0,20.0,20.0,0.0,131.07354921795582,0.0
140,0.001,40.0,20.0,20.0,2.0,133.36746630250423,0.0
141,0.001,40.0,20.0,20.0,10.0,133.18231305700073,0.0
142,0.001,40.0,20.0,20.0,20.0,131.27784031621772,0.0
143,0.001,40.0,40.0,0.0,0.0,138.87488977374193,0.0
144,0.001,40.0,40.0,2.0,0.0,131.38015287662847,0.0
145,0.001,40.0,40.0,2.0,2.0,114.04001671967735,0.0
146,0.001,40.0,40.0,2.0,10.0,125.62541034937895,0.0
147,0.001,40.0,40.0,2.0,20.0,115.06061268626455,0.0
148,0.001,40.0,40.0,10.0,0.0,127.97953569536672,0.0
149,0.001,40.0,40.0,10.0,2.0,134.59880080659633,0.0
150,0.001,40.0,40.0,10.0,10.0,135.63532062980948,0.0
151,0.001,40.0,40.0,10.0,20.0,122.67978399697859,0.0
152,0.001,40.0,40.0,20.0,0.0,133.64288575305704,0.0
153,0.001,40.0,40.0,20.0,2.0,134.03778348284078,0.0
154,0.001,40.0,40.0,20.0,10.0,136.55150744665104,0.0
155,0.001,40.0,40.0,20.0,20.0,140.7061144833916,0.0
156,0.01,2.0,2.0,0.0,0.0,99.73766533595972,0.0
157,0.01,2.0,2.0,2.0,0.0,105.29323616883714,0.0
158,0.01,2.0,2.0,2.0,2.0,109.1587830086618,0.0
159,0.01,2.0,2.0,2.0,10.0,109.82663098453784,0.0
160,0.01,2.0,2.0,2.0,20.0,101.57516895162406,0.0
161,0.01,2.0,2.0,10.0,0.0,112.8710650373629,0.0
162,0.01,2.0,2.0,10.0,2.0,134.48166225282657,0.0
163,0.01,2.0,2.0,10.0,10.0,114.52416145912426,0.0
164,0.01,2.0,2.0,10.0,20.0,116.85626885373051,0.0
165,0.01,2.0,2.0,20.0,0.0,126.5463417692312,0.0
166,0.01,2.0,2.0,20.0,2.0,116.53785309626696,0.0
167,0.01,2.0,2.0,20.0,10.0,112.21146308538758,0.0
168,0.01,2.0,2.0,20.0,20.0,115.02106194312508,0.0
169,0.01,2.0,10.0,0.0,0.0,104.71951366218876,0.0
170,0.01,2.0,10.0,2.0,0.0,115.13184887976277,0.0
171,0.01,2.0,10.0,2.0,2.0,116.98931552680891,0.0
172,0.01,2.0,10.0,2.0,10.0,138.41154462359356,0.0
173,0.01,2.0,10.0,2.0,20.0,123.20535629111069,0.0
174,0.01,2.0,10.0,10.0,0.0,104.09668797673278,0.0
175,0.01,2.0,10.0,10.0,2.0,114.47129588731713,0.0
176,0.01,2.0,10.0,10.0,10.0,124.15618368180135,0.0
177,0.01,2.0,10.0,10.0,20.0,134.18256728346978,0.0
178,0.01,2.0,10.0,20.0,0.0,132.65376927632258,0.0
179,0.01,2.0,10.0,20.0,2.0,119.75688649616708,0.0
180,0.01,2.0,10.0,20.0,10.0,125.24338950807774,0.0
181,0.01,2.0,10.0,20.0,20.0,95.84736209477272,0.0
182,0.01,2.0,20.0,0.0,0.0,108.60014988901331,0.0
183,0.01,2.0,20.0,2.0,0.0,127.89313024030199,0.0
184,0.01,2.0,20.0,2.0,2.0,120.75587243385971,0.0
185,0.01,2.0,20.0,2.0,10.0,109.17164425501171,0.0
186,0.01,2.0,20.0,2.0,20.0,124.5355161971649,0.0
187,0.01,2.0,20.0,10.0,0.0,120.55680442457162,0.0
188,0.01,2.0,20.0,10.0,2.0,104.17440967133156,0.0
189,0.01,2.0,20.0,10.0,10.0,134.51580296184878,0.0
190,0.01,2.0,20.0,10.0,20.0,133.11916400430658,0.0
191,0.01,2.0,20.0,20.0,0.0,112.20437736401415,0.0
192,0.01,2.0,20.0,20.0,2.0,103.92897806539487,0.0
193,0.01,2.0,20.0,20.0,10.0,105.03289131819044,0.0
194,0.01,2.0,20.0,20.0,20.0,128.06101778014684,0.0
195,0.01,2.0,40.0,0.0,0.0,118.96344972890662,0.0
196,0.01,2.0,40.0,2.0,0.0,109.81322025005927,0.0
197,0.01,2.0,40.0,2.0,2.0,66.33255249657563,0.0
198,0.01,2.0,40.0,2.0,10.0,80.6008608374642,0.0
199,0.01,2.0,40.0,2.0,20.0,117.67422314857305,0.0
200,0.01,2.0,40.0,10.0,0.0,116.58180797878609,0.0
201,0.01,2.0,40.0,10.0,2.0,119.69684811634448,0.0
202,0.01,2.0,40.0,10.0,10.0,105.18022024958458,0.0
203,0.01,2.0,40.0,10.0,20.0,114.43406010912365,0.0
204,0.01,2.0,40.0,20.0,0.0,129.21409220113128,0.0
205,0.01,2.0,40.0,20.0,2.0,122.8606496692534,0.0
206,0.01,2.0,40.0,20.0,10.0,70.69709544504309,0.0
207,0.01,2.0,40.0,20.0,20.0,117.58823540600709,0.0
208,0.01,20.0,2.0,0.0,0.0,147.81594922861098,0.0
209,0.01,20.0,2.0,2.0,0.0,117.05577618368292,0.0
210,0.01,20.0,2.0,2.0,2.0,123.30096985040359,0.0
211,0.01,20.0,2.0,2.0,10.0,131.56761953110555,0.0
212,0.01,20.0,2.0,2.0,20.0,113.75183082122713,0.0
213,0.01,20.0,2.0,10.0,0.0,126.64867558126636,0.0
214,0.01,20.0,2.0,10.0,2.0,124.64722826630572,0.0
215,0.01,20.0,2.0,10.0,10.0,137.40635556328334,0.0
216,0.01,20.0,2.0,10.0,20.0,138.28647090916806,0.0
217,0.01,20.0,2.0,20.0,0.0,133.85929618541834,0.0
218,0.01,20.0,2.0,20.0,2.0,81.44997622164298,0.0
219,0.01,20.0,2.0,20.0,10.0,124.94495452304615,0.0
220,0.01,20.0,2.0,20.0,20.0,128.37611536264194,0.0
221,0.01,20.0,10.0,0.0,0.0,151.68456324055856,0.0
222,0.01,20.0,10.0,2.0,0.0,81.32575822106135,0.0
223,0.01,20.0,10.0,2.0,2.0,126.20734844000728,0.0
224,0.01,20.0,10.0,2.0,10.0,129.31583164607443,0.0
225,0.01,20.0,10.0,2.0,20.0,121.51159893092041,0.0
226,0.01,20.0,10.0,10.0,0.0,123.63631401185923,0.0
227,0.01,20.0,10.0,10.0,2.0,106.92740048851546,0.0
228,0.01,20.0,10.0,10.0,10.0,111.85282499625049,0.0
229,0.01,20.0,10.0,10.0,20.0,109.0972474040573,0.0
230,0.01,20.0,10.0,20.0,0.0,119.84107878479188,0.0
231,0.01,20.0,10.0,20.0,2.0,115.19250953573008,0.0
232,0.01,20.0,10.0,20.0,10.0,121.37565415920946,0.0
233,0.01,20.0,10.0,20.0,20.0,72.02602644114671,0.0
234,0.01,20.0,20.0,0.0,0.0,146.37461144595966,0.0
235,0.01,20.0,20.0,2.0,0.0,134.08825412145384,0.0
236,0.01,20.0,20.0,2.0,2.0,124.27525239941592,0.0
237,0.01,20.0,20.0,2.0,10.0,101.48128991921564,0.0
238,0.01,20.0,20.0,2.0,20.0,141.94657317566504,0.0
239,0.01,20.0,20.0,10.0,0.0,110.386843532171,0.0
240,0.01,20.0,20.0,10.0,2.0,127.45439923055706,0.0
241,0.01,20.0,20.0,10.0,10.0,105.83585992528091,0.0
242,0.01,20.0,20.0,10.0,20.0,131.62484865388873,0.0
243,0.01,20.0,20.0,20.0,0.0,139.34891671883813,0.0
244,0.01,20.0,20.0,20.0,2.0,91.24912094551618,0.0
245,0.01,20.0,20.0,20.0,10.0,99.07498148705703,0.0
246,0.01,20.0,20.0,20.0,20.0,79.93965867153915,0.0
247,0.01,20.0,40.0,0.0,0.0,156.34794495538122,0.0
248,0.01,20.0,40.0,2.0,0.0,94.23813387114951,0.0
249,0.01,20.0,40.0,2.0,2.0,72.36382776593537,0.0
250,0.01,20.0,40.0,2.0,10.0,107.97755577361342,0.0
251,0.01,20.0,40.0,2.0,20.0,68.73152170911149,0.0
252,0.01,20.0,40.0,10.0,0.0,92.8990282138871,0.0
253,0.01,20.0,40.0,10.0,2.0,115.25491049491824,0.0
254,0.01,20.0,40.0,10.0,10.0,128.0326744133147,0.0
