,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.001,2.0,2.0,0.0,0.0,0.03198086854821158,0.0
1,0.001,2.0,2.0,4.0,0.0,0.16485418121919115,0.0
2,0.001,2.0,2.0,4.0,2.0,0.2102065367933793,0.0
3,0.001,2.0,2.0,4.0,10.0,0.10769512618353838,0.0
4,0.001,2.0,2.0,15.0,0.0,0.025469051991732217,0.0
5,0.001,2.0,2.0,15.0,2.0,0.1915902323519212,0.0
6,0.001,2.0,2.0,15.0,10.0,0.10624698946677236,0.0
7,0.001,2.0,15.0,0.0,0.0,0.14995639407443773,0.0
8,0.001,2.0,15.0,4.0,0.0,0.2663416968563892,0.0
9,0.001,2.0,15.0,4.0,2.0,0.1421950093854334,0.0
10,0.001,2.0,15.0,4.0,10.0,0.17909095765920213,0.0
11,0.001,2.0,15.0,15.0,0.0,0.2218900580201721,0.0
12,0.001,2.0,15.0,15.0,2.0,0.2504782074361347,0.0
13,0.001,2.0,15.0,15.0,10.0,0.3219794059161789,0.0
14,0.001,2.0,40.0,0.0,0.0,0.30827361733570224,0.0
15,0.001,2.0,40.0,4.0,0.0,0.2425269289227007,0.0
16,0.001,2.0,40.0,4.0,2.0,0.32780165930086896,0.0
17,0.001,2.0,40.0,4.0,10.0,0.2573010481237268,0.0
18,0.001,2.0,40.0,15.0,0.0,0.20744701454921344,0.0
19,0.001,2.0,40.0,15.0,2.0,0.12929838530236948,0.0
20,0.001,2.0,40.0,15.0,10.0,0.2209967270965698,0.0
21,0.001,20.0,2.0,0.0,0.0,0.0364217148303474,0.0
22,0.001,20.0,2.0,4.0,0.0,0.3005104820020603,0.0
23,0.001,20.0,2.0,4.0,2.0,0.14440635282407754,0.0
24,0.001,20.0,2.0,4.0,10.0,0.09199340872237216,0.0
25,0.001,20.0,2.0,15.0,0.0,0.13744228205629794,0.0
26,0.001,20.0,2.0,15.0,2.0,0.18872001511124886,0.0
27,0.001,20.0,2.0,15.0,10.0,0.2264069559943629,0.0
28,0.001,20.0,15.0,0.0,0.0,0.00887998384003319,0.0
29,0.001,20.0,15.0,4.0,0.0,0.21621699050589285,0.0
30,0.001,20.0,15.0,4.0,2.0,0.23342896784822864,0.0
31,0.001,20.0,15.0,4.0,10.0,0.14889700445554074,0.0
32,0.001,20.0,15.0,15.0,0.0,-0.22028955713251908,0.0
33,0.001,20.0,15.0,15.0,2.0,0.06563373269860273,0.0
34,0.001,20.0,15.0,15.0,10.0,0.13886414473780118,0.0
35,0.001,20.0,40.0,0.0,0.0,0.20016834856688115,0.0
36,0.001,20.0,40.0,4.0,0.0,0.5009058140083137,0.0
37,0.001,20.0,40.0,4.0,2.0,0.17837460582713627,0.0
38,0.001,20.0,40.0,4.0,10.0,-0.14795164238264946,0.0
39,0.001,20.0,40.0,15.0,0.0,0.1934640659962832,0.0
